"state","Population2020","CrimeReported","CrimeRate","CrimeViolent","CrimeViolentRate","CrimeNonViolent","CrimeNonViolentRate"
"Alabama",4921532,26596,4727.065,22322,453.558,210322,4273.507
"Alaska",731158,10647,5358.896,6126,837.849,33056,4521.047
"Arizona",7421401,40435,4940.118,35980,484.814,330646,4455.304
"Arkansas",3030522,25590,5898.753,20363,671.93,158400,5226.822
"California",39368078,178304,4719.9,174026,442.049,1684108,4277.852
"Colorado",5807719,30238,6090.756,24570,423.058,329164,5667.698
"Connecticut",3557006,9589,3311.746,6459,181.585,111340,3130.161
"Delaware",986809,8185,4354.642,4262,431.897,38710,3922.745
"District of Columbia",712816,14113,7985.932,7127,999.837,49798,6986.095
"Florida",21733312,86907,3922.458,83368,383.595,769112,3538.862
"Georgia",10710017,46865,4414.802,42850,400.093,429976,4014.709
"Hawaii",1407006,8399,5076.88,3576,254.157,67856,4822.723
"Idaho",1826913,6656,2466.346,4432,242.595,40626,2223.751
"Illinois",12587530,56731,3544.667,53612,425.914,392574,3118.753
"Indiana",6754953,27727,3924.039,24161,357.678,240906,3566.361
"Iowa",3163561,12997,3699.976,9601,303.487,107450,3396.489
"Kansas",2913805,16783,4823.212,12385,425.046,128154,4398.167
"Kentucky",4477251,15159,3818.102,11600,259.088,159346,3559.014
"Louisiana",4645318,35473,6408.216,29704,639.44,267978,5768.776
"Maine",1350141,3778,2420.932,1466,108.581,31220,2312.351
"Maryland",6055802,27435,3619.488,24215,399.864,194974,3219.623
"Massachusetts",6893574,23394,2415.177,21288,308.809,145204,2106.367
"Michigan",9966555,50363,3199.772,47641,478.009,271266,2721.763
"Minnesota",5657342,19948,4527.25,15698,277.48,240424,4249.77
"Mississippi",2966786,12841,4494.426,8638,291.157,124702,4203.269
"Missouri",6151548,38447,5604.784,33385,542.709,311396,5062.075
"Montana",1080577,9319,4711.464,5077,469.842,45834,4241.623
"Nebraska",1937552,10291,4152.405,6473,334.081,73982,3818.323
"Nevada",3138259,18298,4313.506,14445,460.287,120924,3853.219
"New Hampshire",1366275,4198,2344.184,2000,146.383,30028,2197.801
"New Jersey",8882371,19669,2511.751,17353,195.365,205750,2316.386
"New Mexico",2106319,22077,6462.032,16393,778.277,119718,5683.754
"New York",19336776,73160,3185.2,70339,363.758,545576,2821.442
"North Carolina",10600823,48904,4872.292,44451,419.317,472052,4452.975
"North Dakota",765309,6766,4577.236,2518,329.017,32512,4248.219
"Ohio",11693217,39805,4009.418,36104,308.76,432726,3700.658
"Oklahoma",3980783,23666,5869.825,18255,458.578,215410,5411.247
"Oregon",4241507,17698,5609.893,12380,291.877,225564,5318.016
"Pennsylvania",12783254,53081,3677.679,49793,389.517,420334,3288.161
"Rhode Island",1057125,4931,2721.722,2440,230.815,26332,2490.907
"South Carolina",5218040,33133,5972.837,27691,530.678,283974,5442.158
"South Dakota",892717,8389,4414.837,4476,501.391,34936,3913.446
"Tennessee",6886834,51314,5658.304,46328,672.704,343350,4985.6
"Texas",29360759,135574,4936.535,131084,446.46,1318320,4490.075
"Utah",3249879,13400,5189.516,8471,260.656,160182,4928.86
"Vermont",623347,3515,2607.376,1081,173.419,15172,2433.957
"Virginia",8590563,20838,3121.483,17925,208.659,250228,2912.824
"Washington",7693612,28061,5758.57,22596,293.698,420446,5464.871
"West Virginia",1784787,9151,3154.662,6352,355.897,49952,2798.765
"Wisconsin",5832655,21832,3294.709,18861,323.369,173308,2971.34
"Wyoming",582328,4585,3455.441,1364,234.232,18758,3221.209